"Drug__r.Drug_Code__c","Diagnosis__c","Hierarchy__c"
"maviretadult","Genotype 1 - Previously treated with an NS3/4A protease inhibitor-containing regimen, but NS5A inhibitor treatment-naive","Primary"
"maviretadult","Genotype 2,4,5,6 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretadult","Genotype 2,4,5,6 - Treatment-experienced with no cirrhosis","Primary"
"maviretadult","Unable to Verify Genotype","Primary"
"maviretadult","kidney transplant recipient","Primary"
"maviretadult","Genotype 2,4,5,6 - Treatment-experienced with compensated cirrhosis","Primary"
"maviretpediatric","Genotype 2,4,5,6 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretpediatric","Genotype 2,4,5,6 - Treatment-experienced with no cirrhosis","Primary"
"maviretpediatric","Genotype 1 - Treatment-experienced with compensated cirrhosis","Primary"
"maviretpediatric","Unable to Verify Genotype","Primary"
"maviretpediatric","Genotype 3 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretpediatric","Genotype 1 - Treatment-experienced with no cirrhosis","Primary"
"maviretpediatric","Genotype 3 - Treatment-experienced with no cirrhosis or with compensated cirrhosis","Primary"
"maviretpediatric","kidney transplant recipient","Primary"
"maviretpediatric","Genotype 1 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretpediatric","Genotype 2,4,5,6 - Treatment-experienced with compensated cirrhosis","Primary"
"maviretpediatric","heart transplant recipient","Primary"
"meloxicam","Gout","Primary"
"meloxicam","Lupus","Primary"
"meloxicam","Treatment failure on optimal doses of, or intolerance to, both ibuprofen and naproxen","Primary"
"meloxicam","Ankylosing Spondylitis","Primary"
"meloxicam","Psoriatic Arthritis","Primary"
"meloxicam","Rheumatoid Arthritis","Primary"
"meloxicam","Other",""
"mepolizumab","other",""
"mepolizumab","severe eosinophilic asthma","Primary"
"mercaptopurine","Inflammatory bowel disease","Primary"
"mercaptopurine","Autoimmune hepatitis","Primary"
"mercaptopurine","Ulcerative Colitis","Primary"
"mercaptopurine","Other",""
"mercaptopurine","Crohn's disease","Primary"
"methadone_tablets","For pain in extenuating circumstances preventing dose measurement with 10mg/ml or 1 mg/ml solution","Primary"
"methadone_tablets","Other","Primary"
"methotrexatePFsyringe","Treatment of rheumatoid arthritis, when the patient demonstrates failure on or intolerance to oral methotrexate, and they are unable to handle or use vials.","Primary"
"methotrexatePFsyringe","Other",""
"methotrexateVial","Other",""
"methotrexateVial","Treatment of rheumatoid arthritis, when the patient demonstrates failure on or intolerance to oral methotrexate","Primary"
"miniMed","Other form of diabetes (please specify):","Primary"
"miniMed","Type 1 diabetes","Primary"
"mirabegron","Initial (1 year)","Primary"
"mirabegron","Renewal (indefinite)","Primary"
"mirikizumab","Ulcerative Colitis - Renewal","Primary"
"mirikizumab","Ulcerative Colitis - Initial","Primary"
"mirikizumab","Other",""
"mmf","Bullous pemphigoid","Primary"
"mmf","Other",""
"mmf","Autoimmune hepatitis","Primary"
"modafinil","Other",""
"modafinil","Treatment of narcolepsy","Primary"
"mometNS","Diagnosis of allergic rhinitis in child 3-11 years old","Primary"
"mometNS","Other",""
"montelukast","Other","Primary"
"nabumetone","Other",""
"nabumetone","Rheumatoid Arthritis","Primary"
"nabumetone","Psoriatic Arthritis","Primary"
"nabumetone","Ankylosing Spondylitis","Primary"
"nabumetone","Gout","Primary"
"nabumetone","Lupus","Primary"
"nabumetone","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"nadroparin","B. - Following total hip replacement surgery (35 days)","Secondary"
"nadroparin","Other",""
"nadroparin","Continued treatment from acute care for bridging INR (up to 10 days)","Secondary"
"nadroparin","B. - Following total knee replacement surgery (14 days)","Secondary"
"nadroparin","A. - Failure on oral anticoagulant therapy, ie. recurrence (up to 3 months)","Secondary"
"nadroparin","B. - Orthopedic surgery for major trauma (up to 10 days)","Secondary"
"nadroparin","A. - Treatment of venous thromboembolism","Primary"
"nadroparin","B. - Prophylaxis of venous thromboembolism","Primary"
"nadroparin","B. - Associated with pregnancy (up to 4 weeks post partum)","Secondary"
"nadroparin","B. - Concurrent lupus anticoagulant syndrome, antiphospholipid syndrome or thrombophilia (3 months)","Secondary"
"naproEC","Rheumatoid Arthritis","Primary"
"naproEC","Ankylosing Spondylitis","Primary"
"naproEC","Gout","Primary"
"naproEC","Lupus","Primary"
"naproEC","Psoriatic Arthritis","Primary"
"naproEC","Other",""
"naproEC","Treatment failure on optimal dose, or intolerance to, at least one of enteric-coated ASA, ibuprofen, or naproxen","Primary"
"natalizumab","other",""
"natalizumab","As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis","Primary"
"nebulesbude","Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily","Primary"
"nebulesbude","Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.","Primary"
"nebulesbude","Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece","Primary"
"nebulesbude","Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination","Primary"
"nebulesbude","Diagnosis of Rhinosinusitis With Polyps (Internal Criteria)","Primary"
"nebulesbude","Diagnosis of Rhinosinusitis Without Polyps (Internal Criteria)","Primary"
"nebulesbude","Other","Primary"
"nebulescrom","Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily","Primary"
"nebulescrom","Other",""
"nebulescrom","Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece","Primary"
"nebulescrom","Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices","Primary"
"nebulescrom","Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.","Primary"
"nebulesipra","Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices","Primary"
"nebulesipra","Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily","Primary"
"nebulesipra","Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber","Primary"
"nebulesipra","Other",""
"nebulesipra","Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece","Primary"
"nebulesiprasalb","Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece","Primary"
"nebulesiprasalb","Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices","Primary"
"nebulesiprasalb","Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber","Primary"
"nebulesiprasalb","Other",""
"nebulesiprasalb","Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily","Primary"
"nebulessalb","Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece","Primary"
"nebulessalb","Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices","Primary"
"nebulessalb","Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily","Primary"
"nebulessalb","Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.","Primary"
"nebulessalb","Other",""
"netupitant","For the prevention of acute and delayed nausea and vomiting due to highly-emetogenic cancer chemotherapy in combination with dexamethasone","Primary"
"netupitant","Other",""
"nintedanib","progressive pulmonary fibrosis (PPF)","Primary"
"nintedanib","renewal (1 year)","Secondary"
"nintedanib","initial (7 months)","Secondary"
"nintedanib","mild to moderate idiopathic pulmonary fibrosis (IPF)","Primary"
"nintedanib","Other","Primary"
"nitisinone","hereditary tyrosinemia type 1 (HT-1) - for patients identified through prenatal genetic testing","Primary"
"nitisinone","hereditary tyrosinemia type 1 (HT-1) - for patients identified through newborn screening","Primary"
"no_limit_bgts","Gestational Diabetes","Primary"
"no_limit_bgts","Other","Primary"
"novomix","Allergy or intolerance to biosimilar","Primary"
"novomix","Other","Primary"
"novomix","Failure, or otherwise less efficacy, using biosimilar","Primary"
"NRT","Patient filled later than Oct 1, and termination date spilled over into current year - End of Year approval (28 days supply)","Primary"
"NRT","Other","Primary"
"NRT","Patients MSP did not autogenerate new NRT coverage on Jan 1 of current year - 3 Month approval (28 days supply)","Primary"
"NRT","Patient has missed a fill and is within 21 days of expiry from PharmaNet -7 Day approval (28 days supply)","Primary"
"NSAIDdiflu","Lupus","Primary"
"NSAIDdiflu","Gout","Primary"
"NSAIDdiflu","Ankylosing Spondylitis","Primary"
"NSAIDdiflu","Psoriatic Arthritis","Primary"
"NSAIDdiflu","Rheumatoid Arthritis","Primary"
"NSAIDdiflu","Other",""
"NSAIDflur","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"NSAIDflur","Rheumatoid Arthritis","Primary"
"NSAIDflur","Psoriatic Arthritis","Primary"
"NSAIDflur","Ankylosing Spondylitis","Primary"
"NSAIDflur","Diagnosis of gout","Primary"
"NSAIDflur","Lupus","Primary"
"NSAIDflur","Other",""
"NSAIDindo","Ankylosing Spondylitis","Primary"
"NSAIDindo","Psoriatic Arthritis","Primary"
"NSAIDindo","Gout","Primary"
"NSAIDindo","Lupus","Primary"
"NSAIDindo","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"NSAIDindo","Rheumatoid Arthritis","Primary"
"NSAIDindo","Other",""
"NSAIDketo","Psoriatic Arthritis","Primary"
"NSAIDketo","Rheumatoid Arthritis","Primary"
"NSAIDketo","Ankylosing Spondylitis","Primary"
"NSAIDketo","Gout","Primary"
"NSAIDketo","Lupus","Primary"
"NSAIDketo","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"NSAIDketo","Other",""
"NSAIDketoSR","Gout","Primary"
"NSAIDketoSR","Lupus","Primary"
"NSAIDketoSR","Treatment failure on optimal dose, or intolerance to, at least one of enteric-coated ASA, ibuprofen, or naproxen","Primary"
"NSAIDketoSR","Other",""
"NSAIDketoSR","Rheumatoid Arthritis","Primary"
"NSAIDketoSR","Psoriatic Arthritis","Primary"
"NSAIDketoSR","Ankylosing Spondylitis","Primary"
"OBE","Initial - Obeticholic acid will be used as monotherapy","Secondary"
"OBE","Renewal - For PBC, with supplemental details","Primary"
"OBE","Renewal - For PBC, with lab evidence","Primary"
"OBE","Other (exceptional)",""
"OBE","Initial - For treatment of adult patient with confirmed diagnosis of primary biliary cholangitis (PBC)","Primary"
"OBE","Initial - Obeticolic acid will be used in combination with ursodeoxycholic acid (UDCA)","Secondary"
"ocrelizumab","As treatment for Early Primary Progressive Multiple Sclerosis (PPMS)","Primary"
"ocrelizumab","Other",""
"ofloxacin","Failure or intolerance to first-line agents (e.g. aminoglycosides)","Primary"
"ofloxacin","Other",""
"olan","Other","Primary"
"olan","Used as an antiemetic for nausea (exceptional)","Primary"
"olan","Diagnosis of Schizophrenia AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"olan","Diagnosis of other psychosis (not dementia related) AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"olan","Diagnosis of Bipolar I disorder AND treatment failure or intolerance to lithium, carbamazepine or divalproex sodium AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"omalizumabPFS","Severe Allergic Asthma - initial","Primary"
"omalizumabPFS","Severe Allergic Asthma - renewal","Primary"
"omalizumabPFS","Other","Primary"
"omalizumabvial","Severe Allergic Asthma - initial","Primary"
"omalizumabvial","Chronic Spontaneous Urticaria (CSU) - initial","Primary"
"omalizumabvial","Chronic Spontaneous Urticaria (CSU) - renewal","Primary"
"omalizumabvial","Other","Primary"
"omalizumabvial","Severe Allergic Asthma - renewal","Primary"
"omnipod","Other form of diabetes (please specify):","Primary"
"omnipod","Type 1 diabetes","Primary"
"onabot","Diagnosis of migraines/hyperhydrosis - Not Approved","Primary"
"onabot","Treatment of blepharospasm.","Primary"
"onabot","Treatment of spasmodic torticollis / cervical dystonia","Primary"
"onabot","Treatment of overactive bladder (OAB) in adult patients","Primary"
"onabot","Treatment of strabismus","Primary"
"onabot","Treatment of equinus foot deformity due to spasticity in pediatric Cerebral Palsy patients 2 years of age or older.","Primary"
"onabot","Treatment of focal spasticity, including the treatment of upper limb spasticity associated with stroke in adults.","Primary"
"onabot","Treatment of urinary incontinence due to neurogenic detrusor overactivity (NDO) associated with multiple sclerosis or subcervical spinal cord injury,","Primary"
"onabot","Other","Primary"
"otherInsulinPumpNotApproved","Other form of diabetes (please specify):","Primary"
"otherInsulinPumpNotApproved","Type 1 diabetes","Primary"
"otherSAP","other",""
"ozanimod","Renewal - 1 year","Secondary"
"ozanimod","Initial - 14 weeks","Secondary"
"ozanimod","Ulcerative Colitis","Primary"
"ozurdex","Diabetic Macular Edema when submitted by a retinal specialist","Primary"
"ozurdex","Other (Not Approved)","Primary"
"Pagetsalen","Diagnosis of Paget's disease","Primary"
"Pagetsalen","Other",""
"Pagetsrise","diagnosis of Paget's disease","Primary"
"Pagetsrise","other",""
"PAH1","Other",""
"PAH1","For the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH)","Primary"
"PAH2","As monotherapy, for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH)","Primary"
"PAH2","other",""
"PAH2","As monotherapy, for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH)","Primary"
"PAH4","For the treatment of functional class IV pulmonary arterial hypertension (PAH) - contraindication to the non-prostanoid therapies","Primary"
"PAH4","For the treatment of functional class IV pulmonary arterial hypertension (PAH) - inadequate response to the non-prostanoid therapies","Primary"
"PAH4","Other",""
"PAH5","Adult patient with World Health Organization / New York Heart Association functional class III PAH whose symptoms are inadequately controlled with a phosphodiesterase-type 5 inhibitor and endothelin receptor antagonist:","Primary"
"PAH5","PAH associated with connective tissue disorders","Primary"
"PAH5","PAH associated with congenital heart disease","Primary"
"PAH5","Other",""
"PAH5","Idiopathic pulmonary arterial hypertension (PAH)","Primary"
"PAH5","Heritable PAH","Primary"
"pamidronate","Diagnosis indicating bone metastases associated with cancer (except breast cancer)","Primary"
"pamidronate","Other",""
"pentamidine","Other",""
"pentamidine","For PJP prophylaxis","Primary"
"pentazocine","Other",""
"pentazocine","Patient has experienced treatment failure or intolerance to at least two identified opioids","Primary"
"pentazocine","For pain management in a specified pain diagnosis","Primary"
"perampanel","Other",""
"perampanel","For adjunctive therapy (to be used in combination with at least ONE other anti-epileptic drug) for partial-onset seizures","Primary"
"perampanel","At least four other anti-epileptic medications have been tried without success","Primary"
"pimecro","Diagnosis of eczema - refractory to three months of potent topical corticosteroid therapy","Primary"
"pimecro","Diagnosis of eczema - intolerant to topical corticosteroid treatment","Primary"
"pimecro","Other",""
"pirfenidone","EXCEPTIONAL REQUEST: progressive pulmonary fibrosis (PPF)","Primary"
"pirfenidone","initial (7 months)","Secondary"
"pirfenidone","renewal (1 year)","Secondary"
"pirfenidone","mild to moderate idiopathic pulmonary fibrosis (IPF)","Primary"
"pirfenidone","Other","Primary"
"piroxicam","Rheumatoid Arthritis","Primary"
"piroxicam","Lupus","Primary"
"piroxicam","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"piroxicam","Psoriatic Arthritis","Primary"
"piroxicam","Other",""
"piroxicam","Gout","Primary"
"piroxicam","Ankylosing Spondylitis","Primary"
"prami","For the treatment of idiopathic Parkinson's disease - cannot tolerate or has contraindications to levodopa","Primary"
"prami","For the treatment of idiopathic Parkinson's disease - other","Primary"
"prami","Other",""
"prami","For the treatment of idiopathic Parkinson's disease - receiving treatment with levodopa and requires additional adjunctive therapy","Primary"
"prasugrel","Other","Primary"
"prasugrel","STEMI PLUS Stent PLUS Failure on Clopidogrel and ASA due to definite stent thrombosis or recurrent MI","Primary"
"prazosin","None","Primary"
"prazosin","Other","Primary"
"prazosin","Exceptional: management of nightmares due to PTSD","Primary"
"pregabalin","Renewal","Secondary"
"pregabalin","Initial","Secondary"
"propranolol","renewal - proliferating infantile┬áhemangioma requiring systemic therapy","Primary"
"propranolol","initial - proliferating infantile┬áhemangioma requiring systemic therapy","Primary"
"prostaglandin","Erectile dysfunction that occurs as a result of vascular or neurological damage that precludes adequate filling of the sinusoidal spaces","Primary"
"prostaglandin","Other",""
"prucalopride","Other","Primary"
"prucalopride","Exceptional request","Primary"
"ralox","Clinical or radiographically-documented fracture due to osteoporosis - intolerable side effects to a minimum 1 month trial of oral bisphosphonates, alendronate or risedronate","Primary"
"ralox","Other",""
"ralox","Clinical or radiographically-documented fracture due to osteoporosis - unsatisfactory clinical response, defined as a new fragility fracture after 1 year adherence to alendronate or alendronate plus cholecalciferol or risedronate therapy","Primary"
"ranibizumabCMPD","Clinically significant macular edema secondary to Branch Retinal Vein Occlusion (BRVO) or Central Retinal Vein Occlusion (CRVO)","Primary"
"ranibizumabCMPD","Diabetic Macular Degeneration (DME)","Primary"
"ranibizumabCMPD","Other (exceptional request)","Primary"
"ranibizumabCMPD","The patient experienced intolerance to bevacizumab treatment warranting discontinuation such as loss in visual acuity despite optimal treatment, sustained increase in intraocular pressure, endophthalmitis","Secondary"
"ranibizumabCMPD","Neovascular (Wet) Age-Related Macular Degeneration (nAMD)","Primary"
"ranibizumabCMPD","Disease activity is present at 3 consecutive   visits after administration of bevacizumab at a minimum of 4 week intervals with no signs of anatomic or functional improvement","Secondary"
"ranibizumabCMPD","The patient did not achieve an improvement of at least 15 Early Treatment Diabetes Retinopathy Study (ETDRS) letters despite 6 months of optimal treatment with bevacizumab","Secondary"
"ranibizumabCMPD","None","Primary"
"ranibizumabCMPD","The patient did not achieve any improvement  in their best corrected visual acuity (BCVA) score despite 3 consecutive courses of bevacizumab","Secondary"
"Rebif","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"Rebif","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"Rebif","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
"rifaximin","Other",""
"rifaximin","Reducing the risk of overt hepatic encephalopathy (HE) recurrence - unable to achieve adequate control despite taking the maximum tolerated dose of lactulose","Primary"
"rifaximin","Reducing the risk of overt hepatic encephalopathy (HE) recurrence - hospitalized with HE associated with cirrhosis of the live","Primary"
"riluzole","Other","Primary"
"riluzole","Amylotrophic Lateral Sclerosis (ALS) or Lou Gehrig's Disease","Primary"
"risan","renewal","Secondary"
"risan","Other",""
"risan","Crohn's Disease","Primary"
"risan","Plaque Psoriasis","Primary"
"risan","initial","Secondary"
"ritux","Granulomatosis with Polyangiitis (GPA) or Microscopic Polyangiitis (MPA)","Primary"
"ritux","Other",""
"ritux","Rheumatoid Arthritis","Primary"
"ritux","Multiple Sclerosis","Primary"
"ritux","Initial","Secondary"
"ritux","Renewal","Secondary"
"ritux","Idiopathic Thrombocytopenic Purpura (ITP)","Primary"
"ritux","Neuromyelitis Optica (NMO)","Primary"
"ritux","Myasthenia Gravis (MG)","Primary"
"romiplostim_250mcg","ITP (Immune thrombocytopenic purpura)","Primary"
"romiplostim_250mcg","Other","Primary"
"romiplostim_500mcg","ITP (Immune thrombocytopenic purpura)","Primary"
"romiplostim_500mcg","Other","Primary"
"romosozumab","Other","Primary"
"romosozumab","For the continuation of therapy for the treatment of osteoporosis in patients already on romosozumab who require additional therapy to complete 12 months of treatment","Primary"
"romosozumab","For the initiation of treatment of osteoporosis in patients","Primary"
"ropinirole","For the treatment of idiopathic Parkinson's disease - cannot tolerate or has contraindications to levodopa","Primary"
"ropinirole","For the treatment of idiopathic Parkinson's disease - receiving treatment with levodopa and requires additional adjunctive therapy","Primary"
"ropinirole","For the treatment of idiopathic Parkinson's disease - other","Primary"
"ropinirole","Other",""
"rotig","For the treatment of advanced stage ParkinsonΓÇÖs disease, when the patient is receiving treatment with levodopa AND requires additional adjunctive therapy","Primary"
"rotig","Other",""
"rufinamide","Other",""
"rufinamide","For the treatment of Lennox-Gastaut syndrome (LGS)","Primary"
"ruxolitinib","Renewal coverage for acute graft-versus-host disease (aGvHD) in adult and pediatric patients aged 12 years and older. Duration of coverage: 12 weeks","Primary"
"ruxolitinib","Exceptional initial coverage for aGvHD in adult and pediatric patients aged 12 years and older. Duration of coverage: 4 weeks","Primary"
"ruxolitinib","Initial coverage for chronic graft-versus-host disease (cGvHD) in adult and pediatric patients aged 12 years and older. Duration of coverage: 6 months","Primary"
"ruxolitinib","Other","Primary"
"ruxolitinib","Exceptional initial coverage for cGvHD for in adult and pediatric patients aged 12 years and older. Duration of coverage: 6 months","Primary"
"ruxolitinib","Renewal coverage for chronic graft-versus-host disease (cGvHD) in adult and pediatric patients aged 12 years and older. Duration of coverage: 6 months","Primary"
"ruxolitinib","Initial coverage for acute graft-versus-host disease (aGvHD) in adult and pediatric patients aged 12 years and older. Duration of coverage: 4 weeks","Primary"
"sapropterin","Initial Coverage - treatment of hyperphenylalaninemia (HPA) due to tetrahydrobiopterin-responsive (BH4-responsive) phenylketonuria (PKU)","Primary"
"sapropterin","Pregnant patient","Secondary"
"sapropterin","Renewal Coverage - treatment of hyperphenylalaninemia (HPA) due to tetrahydrobiopterin-responsive (BH4-responsive) phenylketonuria (PKU)","Primary"
"sapropterin","Other","Primary"
"sarilumab","renewal","Secondary"
"sarilumab","Other",""
"sarilumab","Rheumatoid Arthritis","Primary"
"sarilumab","initial","Secondary"
"satralizumab","Other","Primary"
"satralizumab","Neuromyelitis optica spectrum disorder (NMOSD)","Primary"
"secukinumab","renewal","Secondary"
"secukinumab","Psoriatic Arthritis","Primary"
"secukinumab","Ankylosing Spondylitis","Primary"
"secukinumab","initial","Secondary"
"secukinumab","Plaque Psoriasis","Primary"
"secukinumab","Other",""
"semaglutide","Type 2 diabetes - inadequate glycemic control with metformin","Primary"
"semaglutide","Other","Primary"
"semaglutide","Diagnosis of Obesity/Weight Loss Only - Not Approved","Primary"
"SGLT2","Type 2 diabetes - inadequate glycemic control with metformin","Primary"
"SGLT2","Other",""
"sildenafil","Other",""
"sildenafil","As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH)","Primary"
"sildenafil","As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH)","Primary"
"silodosin","benign prostatic hyperplasia (BPH)",""
"siponimod","As monotherapy for the treatment of secondary progressive multiple sclerosis (SPMS) - initial","Primary"
"siponimod","Other","Primary"
"siponimod","As monotherapy for the treatment of secondary progressive multiple sclerosis (SPMS) - renewal","Primary"
"sirolimus","lymphangioleimyomatosis (LAM)","Primary"
"sirolimus","idiopathic thrombocytopenia (ITP)","Primary"
"sirolimus","Other","Primary"
"sirolimus","kaposiform hemangioendothelioma (KHE)","Primary"
"solifen","Who have developed SEVERE intolerance to immediate-release oxybutynin requiring discontinuation of oxybutynin","Primary"
"solifen","Overactive Bladder Syndrome","Primary"
"somatropin","For chronic renal insufficiency","Primary"
"somatropin","For true growth hormone deficiency┬á","Primary"
"somatropin","Other",""
"sovaldi","genotype 2 - Treatment-naive or treatment-experienced┬╣ with no cirrhosis or with compensated cirrhosis┬▓: (with RBV) for 12 weeks.","Primary"
"sovaldi","genotype 3 - Treatment-naive or treatment-experienced┬╣ with no cirrhosis or with compensated cirrhosis┬▓: (with RBV) for 24 weeks.","Primary"
"statinsfluv","Other",""
"statinsfluv","Results of trial to rosuvastatin┬á- Other","Primary"
"statinsfluv","Results of trial to atorvastatin - Intolerance","Primary"
"statinsfluv","Results of trial to atorvastatin - Other","Primary"
"statinsfluv","Results of trial to rosuvastatin┬á- Treatment failure","Primary"
"statinsfluv","Results of trial to atorvastatin - Treatment failure","Primary"
"statinsfluv","Results of trial to rosuvastatin┬á- Intolerance","Primary"
"statinslova","Treatment failure on optimal doses of, OR specified intolerance to BOTH reference drugs: atorvastatin AND rosuvastatin","Primary"
"statinslova","Other",""
"statinsprav","Treatment failure on optimal doses of, OR specified intolerance to BOTH reference drugs: atorvastatin AND rosuvastatin","Primary"
"statinsprav","Other",""
"statinssimv","Results of trial to atorvastatin - Intolerance","Primary"
"statinssimv","Results of trial to rosuvastatin┬á- Intolerance","Primary"
"statinssimv","Results of trial to rosuvastatin┬á- Other","Primary"
"statinssimv","Other",""
"statinssimv","Results of trial to atorvastatin - Treatment failure","Primary"
"statinssimv","Results of trial to rosuvastatin┬á- Treatment failure","Primary"
"statinssimv","Results of trial to atorvastatin - Other","Primary"
"stiripen","Diagnosis of severe myoclonic epilepsy in infancy (Dravet syndrome)","Primary"
"stiripen","Other",""
"Suboxone12-16excep","Exceptional review by pharmacist",""
"sulindac","Lupus","Primary"
"sulindac","Other",""
"sulindac","Rheumatoid Arthritis","Primary"
"sulindac","Psoriatic Arthritis","Primary"
"sulindac","Gout","Primary"
"sulindac","Ankylosing Spondylitis","Primary"
"sulindac","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"sumatrip","Oral absorption is not practical.","Primary"
"sumatrip","Nausea and vomiting prevents swallowing oral preparations","Primary"
"sumatrip","Other",""
"tacrotopical","Other","Primary"
"tacrotopical","Diagnosis of eczema AND is intolerant to topical corticosteroid treatment","Primary"
"tacrotopical","Diagnosis of eczema AND is refractory to three months of potent topical corticosteroid therapy","Primary"
"tacrotopical","Diagnosis of eczema AND the area affected includes the eyebrows and/or periorbital region","Primary"
"tadalafil","As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH)","Primary"
"tadalafil","Other",""
"tadalafil","As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH)","Primary"
"tazarotene","For the topical treatment of acne vulgaris in patients 10 years of age and older","Primary"
"tazarotene","Other","Primary"
"tenofovir","Other - patient is pregnant; to reduce vertical transmission of Hepatitis B","Primary"
"tenofovir","Other - Hepatitis B reactivation prophylaxis while on immunosuppressant(s)","Primary"
"tenofovir","Other",""
"tenofovir","Viral breakthrough while on treatment (adefovir experienced with persistant viremia and lamivudine resistance)","Primary"
"tenofovir","Chronic Hepatitis B","Primary"
"tenofovir","Viral breakthrough while on treatment (lamivudine resistance)","Primary"
"tenoxicam","Gout","Primary"
"tenoxicam","Other",""
"tenoxicam","Lupus","Primary"
"tenoxicam","Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam","Primary"
"tenoxicam","Rheumatoid Arthritis","Primary"
"tenoxicam","Psoriatic Arthritis","Primary"
"tenoxicam","Ankylosing Spondylitis","Primary"
"terbinafine","Diagnosis of severe onychomycosis","Primary"
"terbinafine","Other",""
"teriflunomide","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"teriflunomide","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"teriflunomide","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
